   y(mm)   u(m/s)
   1.5399814e+00   7.8252713e-01
   1.5457927e+00   7.8453044e-01
   1.5516039e+00   7.8652255e-01
   1.5574152e+00   7.8850346e-01
   1.5632264e+00   7.9047313e-01
   1.5690377e+00   7.9243158e-01
   1.5748489e+00   7.9437877e-01
   1.5806602e+00   7.9631469e-01
   1.5864714e+00   7.9823935e-01
   1.5922827e+00   8.0015271e-01
   1.5980939e+00   8.0205479e-01
   1.6039052e+00   8.0394556e-01
   1.6097164e+00   8.0582501e-01
   1.6155277e+00   8.0769315e-01
   1.6213389e+00   8.0954997e-01
   1.6271502e+00   8.1139545e-01
   1.6329614e+00   8.1322959e-01
   1.6387727e+00   8.1505240e-01
   1.6445839e+00   8.1686386e-01
   1.6503952e+00   8.1866398e-01
   1.6562064e+00   8.2045274e-01
   1.6620177e+00   8.2223016e-01
   1.6678289e+00   8.2399623e-01
   1.6736402e+00   8.2575095e-01
   1.6794514e+00   8.2749432e-01
   1.6852627e+00   8.2922635e-01
   1.6910739e+00   8.3094704e-01
   1.6968852e+00   8.3265639e-01
   1.7026964e+00   8.3435440e-01
   1.7085077e+00   8.3604109e-01
   1.7143189e+00   8.3771646e-01
   1.7201302e+00   8.3938051e-01
   1.7259414e+00   8.4103325e-01
   1.7317527e+00   8.4267470e-01
   1.7375639e+00   8.4430486e-01
   1.7433752e+00   8.4592374e-01
   1.7491864e+00   8.4753135e-01
   1.7549977e+00   8.4912771e-01
   1.7608089e+00   8.5071282e-01
   1.7666202e+00   8.5228671e-01
   1.7724314e+00   8.5384938e-01
   1.7782427e+00   8.5540085e-01
   1.7840539e+00   8.5694113e-01
   1.7898652e+00   8.5847025e-01
   1.7956764e+00   8.5998821e-01
   1.8014877e+00   8.6149505e-01
   1.8072989e+00   8.6299077e-01
   1.8131102e+00   8.6447539e-01
   1.8189214e+00   8.6594895e-01
   1.8247327e+00   8.6741145e-01
   1.8305439e+00   8.6886293e-01
   1.8363552e+00   8.7030339e-01
   1.8421664e+00   8.7173288e-01
   1.8479777e+00   8.7315141e-01
   1.8537889e+00   8.7455900e-01
   1.8596002e+00   8.7595569e-01
   1.8654114e+00   8.7734150e-01
   1.8712227e+00   8.7871646e-01
   1.8770339e+00   8.8008060e-01
   1.8828452e+00   8.8143394e-01
   1.8886564e+00   8.8277653e-01
   1.8944677e+00   8.8410843e-01
   1.9002789e+00   8.8542968e-01
   1.9060902e+00   8.8674028e-01
   1.9119014e+00   8.8804028e-01
   1.9177127e+00   8.8932970e-01
   1.9235239e+00   8.9060857e-01
   1.9293352e+00   8.9187691e-01
   1.9351464e+00   8.9313475e-01
   1.9409577e+00   8.9438212e-01
   1.9467689e+00   8.9561905e-01
   1.9525802e+00   8.9684556e-01
   1.9583914e+00   8.9806170e-01
   1.9642027e+00   8.9926749e-01
   1.9700139e+00   9.0046295e-01
   1.9758252e+00   9.0164813e-01
   1.9816364e+00   9.0282305e-01
   1.9874477e+00   9.0398775e-01
   1.9932589e+00   9.0514226e-01
   1.9990702e+00   9.0628661e-01
   2.0048815e+00   9.0742084e-01
   2.0106927e+00   9.0854498e-01
   2.0165040e+00   9.0965906e-01
   2.0223152e+00   9.1076313e-01
   2.0281265e+00   9.1185721e-01
   2.0339377e+00   9.1294135e-01
   2.0397490e+00   9.1401558e-01
   2.0455602e+00   9.1507994e-01
   2.0513715e+00   9.1613447e-01
   2.0571827e+00   9.1717920e-01
   2.0629940e+00   9.1821418e-01
   2.0688052e+00   9.1923944e-01
   2.0746165e+00   9.2025502e-01
   2.0804277e+00   9.2126096e-01
   2.0862390e+00   9.2225731e-01
   2.0920502e+00   9.2324411e-01
   2.0978615e+00   9.2422139e-01
   2.1036727e+00   9.2518920e-01
   2.1094840e+00   9.2614759e-01
   2.1152952e+00   9.2709659e-01
   2.1211065e+00   9.2803625e-01
   2.1269177e+00   9.2896662e-01
   2.1327290e+00   9.2988774e-01
   2.1385402e+00   9.3079965e-01
   2.1443515e+00   9.3170240e-01
   2.1501627e+00   9.3259603e-01
   2.1559740e+00   9.3348060e-01
   2.1617852e+00   9.3435615e-01
   2.1675965e+00   9.3522273e-01
   2.1734077e+00   9.3608039e-01
   2.1792190e+00   9.3692917e-01
   2.1850302e+00   9.3776912e-01
   2.1908415e+00   9.3860030e-01
   2.1966527e+00   9.3942275e-01
   2.2024640e+00   9.4023653e-01
   2.2082752e+00   9.4104169e-01
   2.2140865e+00   9.4183827e-01
   2.2198977e+00   9.4262633e-01
   2.2257090e+00   9.4340593e-01
   2.2315202e+00   9.4417711e-01
   2.2373315e+00   9.4493993e-01
   2.2431427e+00   9.4569445e-01
   2.2489540e+00   9.4644071e-01
   2.2547652e+00   9.4717878e-01
   2.2605765e+00   9.4790870e-01
   2.2663877e+00   9.4863055e-01
   2.2721990e+00   9.4934436e-01
   2.2780102e+00   9.5005020e-01
   2.2838215e+00   9.5074813e-01
   2.2896327e+00   9.5143820e-01
   2.2954440e+00   9.5212048e-01
   2.3012552e+00   9.5279502e-01
   2.3070665e+00   9.5346188e-01
   2.3128777e+00   9.5412112e-01
   2.3186890e+00   9.5477280e-01
   2.3245002e+00   9.5541699e-01
   2.3303115e+00   9.5605374e-01
   2.3361227e+00   9.5668312e-01
   2.3419340e+00   9.5730519e-01
   2.3477452e+00   9.5792001e-01
   2.3535565e+00   9.5852765e-01
   2.3593677e+00   9.5912817e-01
   2.3651790e+00   9.5972163e-01
   2.3709902e+00   9.6030810e-01
   2.3768015e+00   9.6088764e-01
   2.3826127e+00   9.6146033e-01
